OBJECTID,SOURCE_ID,2022 Property Crime Index,2022 Total Population,2022 Median Household Income,2022 Median Age,Minutes to Police,Minutes to Fire Department,Minutes to Freeway,Raw Predicted (CRMCYPROC),Predicted (CRMCYPROC),Deviance Residual,Shape__Area,Shape__Length
1,1,211,154,65481,38.8,1,1,1,231.417469947647,231,-1.36265768566215,1351.84765625,166.4661779774
2,2,210,55,66422,39.5,1,1,1,236.659670932002,237,-1.76714281831761,1390.76953125,174.440209200985
3,3,122,153,110112,40.2,2,3,2,111.732787009328,112,0.9569861428606,5636.59375,399.018483704157
4,4,79,541,93130,35.8,3,3,1,70.5649488869806,71,0.985067567538154,10653.69140625,652.410740656644
5,5,167,178,152369,39.1,2,2,3,154.829824356018,155,0.96565807751263,1107.45703125,157.243198567039
6,6,168,96,152392,38.6,1,2,2,185.260509667462,185,-1.28862334411401,4756.76953125,279.785066403685
7,7,123,33,113769,37.5,3,3,2,98.8867697190833,99,2.33515071095297,1554.578125,216.628507408633
8,8,60,65,146310,43,2,2,1,98.3633516541345,98,-4.17227224873018,1018.9921875,147.396365779057
9,9,67,151,93724,35.9,3,2,1,108.523662303517,109,-4.29213141948457,1443.76953125,159.540413369293
10,10,67,33,100000,36.2,3,3,1,90.2956484401283,90,-2.5702423624692,1177.6953125,140.135181441763
11,11,67,903,93616,35.9,3,3,2,68.9046158959733,69,-0.230516858765716,1088.2734375,138.032236561718
12,12,235,58,71909,38.8,2,1,1,178.714740323339,179,4.01409352879751,1221.2890625,169.300799680242
13,13,235,105,68015,38.6,2,2,1,142.350591130429,142,7.09286117970361,2246.48828125,191.833675522092
14,14,80,124,85401,39.4,3,3,3,111.941930373474,112,-3.18296732781461,1774.234375,184.192239855203
15,15,80,98,85291,39.6,4,3,4,100.634012417749,101,-2.13397258717827,976.96484375,146.417368640734
16,16,80,346,86210,39.9,4,3,4,86.3836827980669,86,-0.695570922819344,1223.22265625,169.292455208605
17,17,45,271,152498,42.2,4,4,1,31.8993228337804,32,2.18303444459814,4575.921875,272.041692824089
18,18,45,510,152860,42.2,4,5,2,26.8810726366571,27,3.18335539925628,18658.38671875,664.928148269318
19,19,167,200,153860,39.2,2,2,2,126.421342115426,126,3.4379402165509,3861.640625,248.816929644871
20,20,45,313,154015,42.6,3,4,2,49.182521087814,49,-0.605160673560552,1102.76953125,147.851833545598
21,21,48,142,114704,48.8,2,2,1,79.7734510624668,80,-3.84446181277196,3945.3125,251.934599098385
22,22,211,98,66093,39.1,1,1,1,235.286311377668,235,-1.61178129015902,1113.92578125,157.932878863028
23,23,43,157,134199,39.2,2,2,1,113.532078768972,114,-7.58735926173055,1358.7109375,184.092662703196
24,24,43,107,128316,38.9,2,3,1,96.3311992952947,96,-6.10700215625557,3775.59765625,247.046343952978
25,25,82,161,152528,43.6,4,4,4,55.1739971718339,55,3.36590248487312,1189.66796875,166.170552730104
26,26,68,111,155177,43.1,4,3,5,86.0788632019342,86,-2.02358228492686,2160.9609375,212.542617411671
27,27,67,225,93073,36,3,3,1,83.3649748309539,83,-1.85638748032071,1476.0625,162.127340667349
28,28,235,83,70802,39.2,2,2,1,139.424233426722,139,7.36333050650817,1121.1015625,150.976870276555
29,29,67,69,94479,36,3,3,1,90.5621168093945,91,-2.5969640182564,1312.328125,146.380189644775
30,30,236,186,70311,38.6,1,2,2,218.059849669612,218,1.19878133473785,1422.328125,192.23355361739
31,31,167,133,158530,38.8,2,2,2,131.867331697051,132,2.93676938400603,1065.96484375,152.98640556719
32,32,80,224,87106,40,3,3,4,123.317321655716,123,-4.17099069749532,1633.76953125,184.220087886091
33,33,166,50,156438,40,2,2,2,131.861096839199,132,2.85682473298479,1041.62890625,149.880116042185
34,34,82,101,153810,44.2,4,4,4,55.4057214790525,55,3.33247802364038,899.875,127.553034914387
35,35,68,32,172075,45,4,3,4,66.1129782966297,66,0.230986682772941,780.21875,121.66018784234
