ID,Date,Address,City,State,Units,Completion,Comments,X,Y
1,7/2/2022 6:53:00 AM,1626 Lyndon St,South Pasadena,CA,6,Yes,None,-118.1489859,34.11124003
2,9/2/2022 7:38:06 AM,2050 Huntington Dr,South Pasadena,CA,5,Yes,Site is a medical/ dental center. First floor has parking. Second floor has units. QC,-118.1381678,34.10503629
3,7/1/2022 7:20:00 AM,2012 Huntington Dr,South Pasadena,CA,12,Yes,None,-118.1392429,34.10458639
4,7/1/2022 7:25:00 AM,2035 Huntington Dr,South Pasadena,CA,8,Yes,None,-118.1378773,34.10461581
5,7/1/2022 7:28:00 AM,2107 Huntington Dr,South Pasadena,CA,9,Yes,None,-118.1369362,34.10516488
6,9/2/2022 7:43:05 AM,2111 Huntington Dr,South Pasadena,CA,10,Yes,Also with 1801 Olive St. QC,-118.1366505,34.10535419
7,7/1/2022 7:57:00 AM,2126 Huntington Dr,South Pasadena,CA,0,No,Did not attempt. Private indoor common area locked.,-118.1361492,34.1062294
8,7/1/2022 8:06:00 AM,2114 Huntington Dr,South Pasadena,CA,0,No,Did not attempt. Gate to common outdoor area stated to beware of dog.,-118.1364121,34.10606071
9,7/1/2022 8:12:00 AM,1974 Huntington Dr,South Pasadena,CA,0,No,Site is under construction and is not inhabited.,-118.1405366,34.10444701
10,7/7/2022 11:43:21 PM,1760 State St,South Pasadena,CA,42,Yes,None,-118.1463738,34.12261669
11,7/11/2022 11:46:00 PM,1800 State St,South Pasadena,CA,96,Yes,Took picture but is not clear.,-118.1465612,34.12364981
12,7/7/2022 11:48:52 PM,1744 State St,South Pasadena,CA,0,Tentative,In progress.,-118.1465636,34.12144022
13,7/7/2022 11:52:27 PM,1732 State St,South Pasadena,CA,8,Yes,None,-118.1467454,34.12111939
14,7/7/2022 11:53:57 PM,1754 State St,South Pasadena,CA,8,Yes,None,-118.1463774,34.1221036
15,7/7/2022 11:55:27 PM,1748 State St,South Pasadena,CA,8,Yes,None,-118.1464346,34.12184821
16,7/8/2022 12:03:22 AM,1220 Lyndon St,South Pasadena,CA,0,No,Did not attempt. Gate to common area locked. Warehouse unit.,-118.154689,34.11112423
17,7/8/2022 12:06:47 AM,1311 Fremont Ave,South Pasadena,CA,5,Yes,None,-118.1533523,34.11054181
18,7/8/2022 12:12:39 AM,1972 Fletcher Ave,South Pasadena,CA,0,No,Did not attempt. Is single unit housing.,-118.1422078,34.10148448
19,7/8/2022 12:38:23 AM,1311 Lyndon St,South Pasadena,CA,8,Yes,None,-118.1540996,34.11079096
20,7/8/2022 12:42:06 AM,1116 Fair Oaks Ave,South Pasadena,CA,0,No,Did not attempt. Gate to common area locked.,-118.150168,34.11311789
21,7/8/2022 12:45:01 AM,1711 Oxley St,South Pasadena,CA,8,Tentative,None,-118.1485733,34.11375596
22,7/8/2022 12:48:29 AM,1725 Oxley St,South Pasadena,CA,4,Yes,None,-118.1478267,34.11369789
23,7/8/2022 12:51:33 AM,1721 Oxley St,South Pasadena,CA,14,Yes,None,-118.1480953,34.11370074
24,7/8/2022 12:55:01 AM,1731 Oxley St,South Pasadena,CA,10,Yes,None,-118.1476405,34.1137652
25,7/8/2022 12:57:09 AM,715 Brent Ave,South Pasadena,CA,24,Tentative,None,-118.1492148,34.11761994
26,7/12/2022 12:58:01 AM,1938 Mill Rd,South Pasadena,CA,0,Tentative,None,-118.1427889,34.11946145
27,7/12/2022 1:00:32 AM,1930 Mill Rd,South Pasadena,CA,0,Tentative,None,-118.1430903,34.11933906
28,7/12/2022 1:12:20 AM,1744 Foothill St,South Pasadena,CA,16,Tentative,More addresses can be captured. See Jeff. Each unit to have its own map?,-118.1465535,34.11985709
29,7/12/2022 1:15:11 AM,506 Garfield Ave,South Pasadena,CA,0,No,Did not attempt. Gate to property locked.,-118.1450727,34.12001507
30,7/12/2022 1:15:11 AM,512 Garfield Ave,South Pasadena,CA,0,No,Did not attempt. Gate to property locked.,-118.1450546,34.12001813
31,7/12/2022 1:15:11 AM,514 Garfield Ave,South Pasadena,CA,0,No,None,-118.1450381,34.12001978
32,7/12/2022 1:15:11 AM,516 Garfield Ave,South Pasadena,CA,0,No,None,-118.1450232,34.12002151
33,7/12/2022 1:20:39 AM,435 Garfield Ave,South Pasadena,CA,0,No,Did not attempt. Door to property locked.,-118.1457163,34.12110201
34,7/12/2022 1:29:11 AM,1812 Hardison Pl,South Pasadena,CA,0,No,Under construction. Not inhabited.,-118.1446697,34.12081136
35,7/12/2022 1:30:40 AM,1810 Hardison Pl,South Pasadena,CA,10,Yes,None,-118.1448932,34.12078907
36,7/12/2022 1:33:46 AM,1818 Hardison Pl,South Pasadena,CA,0,Tentative,None,-118.1444869,34.12083079
37,7/12/2022 1:43:45 AM,306 Garfield Ave,South Pasadena,CA,6,Yes,None,-118.1454624,34.12274072
38,7/12/2022 1:43:45 AM,308 Garfield Ave,South Pasadena,CA,6,Yes,None,-118.1454759,34.12259746
39,7/12/2022 1:43:45 AM,304 Garfield Ave,South Pasadena,CA,8,Yes,None,-118.1454897,34.12289184
40,7/12/2022 1:43:45 AM,302 Garfield Ave,South Pasadena,CA,5,Yes,None,-118.1454984,34.12303272
41,7/12/2022 2:02:12 AM,509 Fair Oaks Ave,South Pasadena,CA,12,Tentative,There is another building on property that is under construction. Door was locked.,-118.150538,34.11967932
42,7/12/2022 2:14:40 AM,513 Fair Oaks Dr,South Pasadena,CA,12,Tentative,Grouped with 509 Fair Oaks Ave.,-118.1505402,34.11953163
43,7/12/2022 2:33:14 AM,1718 State St,South Pasadena,CA,8,Yes,None,-118.1470886,34.12068666
44,7/12/2022 2:34:52 AM,1724 State St,South Pasadena,CA,8,Yes,None,-118.1468609,34.12090397
45,7/12/2022 2:36:39 AM,1699 Amberwood Dr,South Pasadena,CA,0,No,Did not attempt. Door to property locked.,-118.1485922,34.12084179
46,7/12/2022 2:38:23 AM,410 Raymondale Dr,South Pasadena,CA,0,Tentative,None,-118.1478987,34.12042272
47,7/12/2022 2:41:43 AM,1732 Raymon Hill Rd,South Pasadena,CA,0,No,Did not attempt. Door to common locked.,-118.1476799,34.12359055
48,7/14/2022 2:45:00 AM,300 Mockingbird Ln,South Pasadena,CA,8,Yes,None.,-118.1471602,34.12261011
49,7/11/2022 7:56:00 AM,1746 Foothill Dr,South Pasadena,CA,0,Tentative,None,-118.1464588,34.11985584
50,7/11/2022 8:00:00 AM,1748 Foothill St,South Pasadena,CA,0,Tentative,None,-118.1467995,34.11984091
51,7/11/2022 8:01:00 AM,1750 Foothill St,South Pasadena,CA,0,Tentative,None,-118.1469185,34.11983358
52,7/14/2022 12:47:48 AM,1030 Magnolia St,South Pasadena,CA,8,Yes,Also 1034 Magnolia,-118.1555924,34.11795019
53,7/14/2022 12:51:17 AM,1110 Magnolia St,South Pasadena,CA,15,Yes,Also 1114 Magnolia St and 1118 Magnolia St.,-118.1545537,34.11795386
54,7/14/2022 12:53:33 AM,1018 Magnolia St,South Pasadena,CA,10,Yes,None,-118.156096,34.11797832
55,7/14/2022 1:16:38 AM,1029 Magnolia St,South Pasadena,CA,8,Yes,Redraw map.,-118.1557394,34.11762809
56,7/14/2022 1:30:24 AM,708 Meridian Ave,South Pasadena,CA,3,Yes,None,-118.1569054,34.11737166
57,7/14/2022 1:33:21 AM,601 Meridian Ave,South Pasadena,CA,0,Tentative,In progress.,-118.1573009,34.11858281
58,7/23/2022 1:35:00 AM,635 Prospect Ave,South Pasadena,CA,32,Yes,None,-118.1587362,34.11765849
59,7/14/2022 1:46:31 AM,617 Prospect Ave,South Pasadena,CA,20,Yes,None,-118.1586933,34.11820693
60,7/14/2022 1:50:49 AM,605 Prospect Ave,South Pasadena,CA,4,Yes,None,-118.1587113,34.118649
61,7/14/2022 2:29:05 AM,831 Grevelia St,South Pasadena,CA,12,Yes,Also 827 and 829 Grevelia St.,-118.1590382,34.1186908
62,7/14/2022 2:42:01 AM,825 Grevelia St,South Pasadena,CA,6,Yes,Also 823 and 821 Grevelia St.,-118.1593526,34.11871077
63,7/14/2022 2:56:34 AM,609 Prospect Ave,South Pasadena,CA,30,Yes,None. QC,-118.1586824,34.11841782
