ID,Date,Address,City,State,Units,Completion,X,Y
1.0,7/2/2022 6:53:00 AM,1626 Lyndon St,South Pasadena,CA,6.0,Yes,-118.1489859,34.11124003
2.0,9/2/2022 7:38:06 AM,2050 Huntington Dr,South Pasadena,CA,5.0,Yes,-118.1381678,34.10503629
3.0,7/1/2022 7:20:00 AM,2012 Huntington Dr,South Pasadena,CA,12.0,Yes,-118.1392429,34.10458639
4.0,7/1/2022 7:25:00 AM,2035 Huntington Dr,South Pasadena,CA,8.0,Yes,-118.1378773,34.10461581
5.0,7/1/2022 7:28:00 AM,2107 Huntington Dr,South Pasadena,CA,9.0,Yes,-118.1369362,34.10516488
6.0,9/2/2022 7:43:05 AM,2111 Huntington Dr,South Pasadena,CA,10.0,Yes,-118.1366505,34.10535419
10.0,7/7/2022 11:43:21 PM,1760 State St,South Pasadena,CA,42.0,Yes,-118.1463738,34.12261669
11.0,7/11/2022 11:46:00 PM,1800 State St,South Pasadena,CA,96.0,Yes,-118.1465612,34.12364981
13.0,7/7/2022 11:52:27 PM,1732 State St,South Pasadena,CA,8.0,Yes,-118.1467454,34.12111939
14.0,7/7/2022 11:53:57 PM,1754 State St,South Pasadena,CA,8.0,Yes,-118.1463774,34.1221036
15.0,7/7/2022 11:55:27 PM,1748 State St,South Pasadena,CA,8.0,Yes,-118.1464346,34.12184821
17.0,7/8/2022 12:06:47 AM,1311 Fremont Ave,South Pasadena,CA,5.0,Yes,-118.1533523,34.11054181
19.0,7/8/2022 12:38:23 AM,1311 Lyndon St,South Pasadena,CA,8.0,Yes,-118.1540996,34.11079096
22.0,7/8/2022 12:48:29 AM,1725 Oxley St,South Pasadena,CA,4.0,Yes,-118.1478267,34.11369789
23.0,7/8/2022 12:51:33 AM,1721 Oxley St,South Pasadena,CA,14.0,Yes,-118.1480953,34.11370074
24.0,7/8/2022 12:55:01 AM,1731 Oxley St,South Pasadena,CA,10.0,Yes,-118.1476405,34.1137652
35.0,7/12/2022 1:30:40 AM,1810 Hardison Pl,South Pasadena,CA,10.0,Yes,-118.1448932,34.12078907
37.0,7/12/2022 1:43:45 AM,306 Garfield Ave,South Pasadena,CA,6.0,Yes,-118.1454624,34.12274072
38.0,7/12/2022 1:43:45 AM,308 Garfield Ave,South Pasadena,CA,6.0,Yes,-118.1454759,34.12259746
39.0,7/12/2022 1:43:45 AM,304 Garfield Ave,South Pasadena,CA,8.0,Yes,-118.1454897,34.12289184
40.0,7/12/2022 1:43:45 AM,302 Garfield Ave,South Pasadena,CA,5.0,Yes,-118.1454984,34.12303272
43.0,7/12/2022 2:33:14 AM,1718 State St,South Pasadena,CA,8.0,Yes,-118.1470886,34.12068666
44.0,7/12/2022 2:34:52 AM,1724 State St,South Pasadena,CA,8.0,Yes,-118.1468609,34.12090397
48.0,7/14/2022 2:45:00 AM,300 Mockingbird Ln,South Pasadena,CA,8.0,Yes,-118.1471602,34.12261011
52.0,7/14/2022 12:47:48 AM,1030 Magnolia St,South Pasadena,CA,8.0,Yes,-118.1555924,34.11795019
53.0,7/14/2022 12:51:17 AM,1110 Magnolia St,South Pasadena,CA,15.0,Yes,-118.1545537,34.11795386
54.0,7/14/2022 12:53:33 AM,1018 Magnolia St,South Pasadena,CA,10.0,Yes,-118.156096,34.11797832
55.0,7/14/2022 1:16:38 AM,1029 Magnolia St,South Pasadena,CA,8.0,Yes,-118.1557394,34.11762809
56.0,7/14/2022 1:30:24 AM,708 Meridian Ave,South Pasadena,CA,3.0,Yes,-118.1569054,34.11737166
58.0,7/23/2022 1:35:00 AM,635 Prospect Ave,South Pasadena,CA,32.0,Yes,-118.1587362,34.11765849
